runtime,director_popularity,actor1_popularity,actor2_popularity,actor3_popularity,actor4_popularity,actor5_popularity,cast_pop_mean,cast_pop_max,release_year,release_month,release_quarter,release_month_sin,release_month_cos,is_summer_release,is_holiday_release,release_is_missing,star_count,cast_popularity_std,cast_popularity_range,top2_cast_pop_sum,cast_gender_ratio,director_is_female,director_pop_missing,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,num_genres,keyword_count,keyword_unique_ratio,kw_woman_director,kw_based_on_novel_or_book,kw_short_film,kw_sequel,kw_based_on_true_story,kw_duringcreditsstinger,kw_murder,kw_lgbt,kw_aftercreditsstinger,kw_biography,kw_coming_of_age,kw_revenge,kw_superhero,kw_gay_theme,kw_friendship,kw_new_york_city,kw_based_on_comic,kw_family,kw_anime,kw_amused,kw_remake,kw_love,kw_dystopia,kw_dark_comedy,kw_absurd,lang_en,lang_fr,lang_es,lang_ja,lang_de,lang_it,lang_tl,lang_ko,lang_other,is_english,has_overview,overview_char_count,overview_word_count,overview_unique_word_ratio,has_budget,log_budget,runtime_missing,log_runtime,popularity
121,3.7075,4.5056,4.7209,2.3847,2.5396,2.6019,3.35054,4.7209,2010.0,10.0,4.0,-0.8660254037844386,0.5000000000000001,0,0,0,2,1.1579057142099265,2.3362000000000003,9.226500000000001,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,29,1.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,395,64,0.875,1,17.50439003707821,0,4.804021044733257,14.4516
98,0.8595,2.4715,7.6535,1.8223,2.6099,4.2178,3.755,7.6535,2010.0,3.0,1.0,1.0,6.123233995736766e-17,0,0,0,2,2.3508743926462765,5.8312,11.871300000000002,0.2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,53,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,353,67,0.746268656716418,1,18.92145603792546,0,4.59511985013459,8.73
102,1.1935,15.863,2.8631,3.7314,2.0009,3.4854,5.58876,15.863,2010.0,6.0,2.0,1.2246467991473532e-16,-1.0,1,0,0,3,5.782211489819444,13.8621,19.5944,0.2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,13,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,247,45,0.8222222222222222,1,19.11382792951231,0,4.634728988229636,8.4921
108,2.0571,7.3494,9.1964,3.2756,3.291,9.2848,6.479439999999999,9.2848,2010.0,12.0,4.0,-2.4492935982947064e-16,1.0,0,1,0,5,3.018256415217236,6.009200000000001,18.4812,0.8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,26,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,125,20,0.95,1,16.380459992348886,0,4.6913478822291435,13.1865
131,4.8034,1.0316,1.4545,0.5438,1.0527,2.6124,1.339,2.6124,2010.0,9.0,3.0,-1.0,-1.8369701987210297e-16,0,0,0,0,0.7816158423420038,2.0686,4.0669,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,23,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,302,50,0.86,1,15.732433317205148,0,4.882801922586371,12.8338
96,0.9342,4.6728,10.9043,2.6561,4.2178,3.1754,5.12528,10.9043,2010.0,10.0,4.0,-0.8660254037844386,0.5000000000000001,0,0,0,4,3.328821568813804,8.248199999999999,15.577099999999998,0.2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,21,1.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,228,38,0.9210526315789473,1,18.683045016112164,0,4.574710978503383,11.5322
126,3.5462,2.2214,3.7689,4.4938,2.1759,2.2182,2.97564,4.4938,2010.0,12.0,4.0,-2.4492935982947064e-16,1.0,0,1,0,2,1.0858462842410064,2.3179000000000003,8.2627,0.2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,15,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,249,42,0.8095238095238095,1,18.951309000896888,0,4.844187086458591,11.5954
103,10.5039,10.5039,27.8891,6.0061,4.3711,5.6896,10.89196,27.8891,2010.0,8.0,3.0,-0.8660254037844384,-0.5000000000000004,0,0,0,5,9.778946152219062,23.518,38.393,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,13,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,488,77,0.7922077922077922,1,18.197537205138154,0,4.6443908991413725,10.0387
118,1.2832,8.2672,5.8659,9.1964,3.185,2.5089,5.80468,9.1964,2010.0,1.0,1.0,0.49999999999999994,0.8660254037844387,0,0,0,4,2.9705389371290862,6.6875,17.4636,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,13,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,152,27,0.8518518518518519,1,18.197537205138154,0,4.77912349311153,10.1943
93,1.4067,3.9581,5.4999,4.9592,5.6295,1.4461,4.29856,5.6295,2010.0,5.0,2.0,0.49999999999999994,-0.8660254037844387,1,0,0,4,1.7250728500559043,4.183400000000001,11.1294,0.2,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,4,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,343,60,0.8166666666666667,1,18.92145603792546,0,4.543294782270004,7.3416
89,3.6064,2.0939,1.1664,2.736,2.4808,2.0684,2.1091,2.736,2010.0,8.0,3.0,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0.596182715281146,1.5696,5.2168,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,14,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,184,34,0.8823529411764706,1,16.454567959008102,0,4.499809670330265,9.4324
